"","Overall_Rating","Technical_Skills","Teamwork","Customer_Service","Hire_Again","High_Performer","Retained","scale"
"47",5,4,5,5,5,1,1,7.56101542139492
"48",3,3,4,4,5,1,1,2.60174565562774
"49",2,3,2,3,3,0,0,-4.95279751288507
"50",4,4,4,4,5,1,1,4.6142303849082
"51",4,4,4,4,4,1,0,3.48988606544872
"53",4,4,4,4,5,1,1,4.6142303849082
"54",5,5,5,5,5,1,1,8.56081700246639
"55",4,4,4,4,4,1,0,3.48988606544872
"56",4,4,4,5,5,1,0,5.20964211180073
"57",4,3,4,5,5,1,1,4.55639220178033
"58",2,2,2,3,3,0,1,-5.60604742290547
"59",3,3,4,3,4,0,1,-0.831493064548341
"60",4,4,4,4,5,1,1,4.6142303849082
"61",3,3,3,3,4,0,0,-2.17018322593355
"62",4,3,5,3,5,1,1,3.66460389622726
"63",3,2,1,2,2,0,1,-7.30525881138263
"64",4,4,4,4,5,1,0,4.26767871385712
"65",4,4,4,3,5,1,1,3.6722669869646
"66",3,4,4,5,5,1,1,4.54351063464282
"67",3,3,4,4,5,1,1,2.60174565562774
"69",4,4,4,4,5,1,1,4.6142303849082
"70",2,1,1,3,3,0,1,-7.59798749431108
"71",4,5,5,5,5,1,0,7.20158218320634
"72",3,3,3,3,3,0,1,-2.60142420329088
"73",4,4,4,4,5,1,0,4.26767871385712
"74",3,3,3,3,4,0,0,-2.17018322593355
"75",5,5,5,5,5,1,1,8.56081700246639
"76",4,4,4,4,5,1,1,4.6142303849082
"77",3,4,4,3,5,1,0,2.31303216770454
"79",3,3,3,3,4,0,0,-2.17018322593355
"80",5,5,5,5,5,1,1,8.56081700246639
"81",3,3,3,3,5,0,0,-1.39239057752515
"82",4,4,4,3,5,1,0,3.32571531591352
"83",2,3,3,4,4,0,1,-1.89435130514785
"84",3,3,3,3,4,0,1,-1.82363155488248
"85",3,3,3,3,4,0,1,-1.82363155488248
"86",4,4,3,5,4,1,0,3.43971097305819
"87",2,2,2,2,2,0,0,-7.67235514030855
"88",4,4,4,4,5,1,1,4.6142303849082
"89",2,2,2,3,3,0,1,-5.60604742290547
"90",4,4,4,4,5,1,0,4.26767871385712
"91",2,2,2,3,3,0,1,-5.60604742290547
"92",5,4,4,5,5,1,1,6.56887693106078
"93",5,4,5,5,5,1,1,7.56101542139492
"94",2,2,3,3,2,0,1,-5.39170158097973
"95",4,4,4,4,4,1,1,3.8364377364998
"96",3,3,3,4,4,0,0,-1.22821982798995
"97",5,5,5,5,5,1,1,8.56081700246639
"98",3,3,3,3,5,0,1,-1.04583890647407
"99",3,3,3,3,4,0,0,-2.17018322593355
"100",4,4,4,4,4,1,0,3.48988606544872
"101",3,3,3,3,5,0,1,-1.04583890647407
"102",4,4,4,4,5,1,1,4.6142303849082
"103",3,2,3,3,3,0,0,-3.94777745541343
"104",3,3,3,3,3,0,0,-2.94797587434195
"105",4,3,4,4,5,1,1,3.61442880383672
"107",4,3,3,4,5,1,1,2.62229031350259
"108",3,3,3,3,4,0,1,-1.82363155488248
"109",3,3,3,3,4,0,0,-2.17018322593355
"110",3,3,3,2,4,0,0,-3.11214662387716
"111",4,4,4,4,5,1,1,4.6142303849082
"112",3,2,3,3,2,0,1,-4.37901843277075
"113",3,3,3,3,4,0,1,-1.82363155488248
"114",3,3,3,3,4,0,0,-2.17018322593355
"115",3,3,4,4,4,0,1,0.110470333395263
"116",3,2,3,2,4,0,1,-3.76539653389756
"117",3,3,3,3,4,0,1,-1.82363155488248
"118",3,4,4,4,5,1,1,3.60154723669922
"119",3,3,3,3,4,0,0,-2.17018322593355
"120",4,4,4,5,5,1,1,5.5561937828518
"121",3,3,3,3,5,0,0,-1.39239057752515
"122",3,3,3,3,4,0,0,-2.17018322593355
"123",1,1,1,1,1,0,1,-12.0501827352241
"124",4,3,4,4,5,1,1,3.61442880383672
"125",4,4,4,5,5,1,1,5.5561937828518
"126",5,4,5,4,5,1,1,6.61905202345131
"127",4,3,4,4,4,1,0,2.49008448437725
"128",3,3,2,3,3,0,1,-3.59356269362501
"129",5,5,4,5,5,1,0,7.22212684108118
"130",1,1,1,1,1,0,0,-12.3967344062751
"131",4,4,4,4,4,1,0,3.48988606544872
"132",3,3,3,3,5,0,1,-1.04583890647407
"133",4,4,4,3,5,1,0,3.32571531591352
"134",4,4,4,4,4,1,0,3.48988606544872
"135",1,1,1,1,2,0,0,-11.6189417578667
"136",2,3,3,2,4,0,0,-4.12482977208614
"137",3,4,4,4,5,1,0,3.25499556564814
"138",3,3,4,4,4,0,1,0.110470333395263
"139",4,4,4,4,5,1,1,4.6142303849082
"140",4,3,4,4,5,1,1,3.61442880383672
"141",3,3,3,3,4,0,0,-2.17018322593355
"143",4,4,4,4,5,1,1,4.6142303849082
"144",3,2,2,3,2,0,1,-5.37115692310489
"145",4,3,3,3,5,0,0,-0.379707429316172
"146",1,1,1,1,1,0,0,-12.3967344062751
"147",4,4,4,4,5,1,1,4.6142303849082
"148",4,4,4,3,5,1,0,3.32571531591352
"149",3,3,3,3,4,0,1,-1.82363155488248
"150",3,3,3,3,4,0,0,-2.17018322593355
"151",5,5,5,5,5,1,1,8.56081700246639
"152",3,3,3,3,4,0,1,-1.82363155488248
"153",3,3,2,4,4,0,0,-2.22035831832408
"154",3,3,3,4,4,0,1,-0.881668156938872
"155",3,4,4,4,5,1,0,3.25499556564814
"156",5,5,5,5,5,1,1,8.56081700246639
"157",4,2,4,5,5,1,1,3.55659062070885
"158",3,3,3,4,5,0,1,-0.103875508530471
"159",2,2,2,2,2,0,0,-7.67235514030855
"160",3,3,3,3,4,0,0,-2.17018322593355
"161",4,4,4,4,5,1,1,4.6142303849082
"162",2,2,3,4,4,0,1,-2.89415288621933
"163",5,5,4,5,5,1,0,7.22212684108118
"164",2,2,3,3,1,0,0,-6.51604590043921
"165",3,4,4,4,4,1,1,2.82375458829082
"166",2,1,2,3,2,0,0,-7.73019332343642
"167",3,3,4,3,4,0,0,-1.17804473559942
"168",4,4,4,4,4,1,1,3.8364377364998
"169",4,3,4,4,5,1,1,3.61442880383672
"170",4,4,4,4,5,1,0,4.26767871385712
"171",4,4,4,5,5,1,1,5.5561937828518
"172",2,2,2,2,2,0,1,-7.32580346925747
"173",3,3,3,4,4,0,1,-0.881668156938872
"174",3,2,3,3,3,0,0,-3.94777745541343
"175",4,4,3,3,4,0,0,-0.157698496653098
"176",3,2,2,2,2,0,0,-6.65967199209957
"177",3,2,3,3,3,0,0,-3.94777745541343
"178",3,3,3,3,4,0,0,-2.17018322593355
"179",3,3,4,2,4,0,1,-1.77345646249194
"180",3,3,3,3,4,0,1,-1.82363155488248
"181",3,3,4,3,5,0,0,-0.400252087191017
"182",3,3,4,4,4,0,1,0.110470333395263
"183",3,3,4,4,4,0,0,-0.236081337655814
"184",5,5,5,5,5,1,1,8.56081700246639
"185",3,3,3,3,4,0,0,-2.17018322593355
"186",3,3,3,3,4,0,0,-2.17018322593355
"187",3,3,3,3,5,0,0,-1.39239057752515
"189",5,4,5,5,5,1,1,7.56101542139492
"190",4,3,3,4,5,1,1,2.62229031350259
"191",3,3,3,3,4,0,1,-1.82363155488248
"192",4,3,3,4,4,0,1,0.131014991270108
"193",5,5,5,5,5,1,0,8.21426533141532
"194",3,3,4,3,5,0,0,-0.400252087191017
"195",3,3,3,3,4,0,0,-2.17018322593355
"196",5,4,5,5,5,1,1,7.56101542139492
"197",1,2,2,1,1,0,0,-10.4047943348695
"198",3,3,3,3,3,0,0,-2.94797587434195
"199",4,4,3,4,5,1,1,3.62209189457406
"200",4,4,4,4,5,1,1,4.6142303849082
"201",3,3,3,3,4,0,1,-1.82363155488248
"202",3,3,3,3,5,0,0,-1.39239057752515
"203",4,5,5,5,5,1,0,7.20158218320634
"204",3,3,4,4,5,1,1,2.60174565562774
"205",3,3,3,3,4,0,0,-2.17018322593355
"206",4,4,5,5,5,1,1,6.54833227318594
"207",4,4,3,3,5,1,0,2.33357682557938
"208",4,3,4,4,4,1,1,2.83663615542832
"209",5,5,5,5,5,1,1,8.56081700246639
"210",3,4,3,3,4,0,1,-0.823829973811001
"211",3,3,3,3,4,0,0,-2.17018322593355
"212",4,4,4,3,5,1,1,3.6722669869646
"213",1,1,3,3,3,0,1,-6.62639366185179
"214",4,4,4,4,5,1,1,4.6142303849082
"215",4,4,4,4,4,1,0,3.48988606544872
"216",4,4,4,4,5,1,1,4.6142303849082
"217",4,3,4,4,5,1,1,3.61442880383672
"218",3,3,3,3,4,0,0,-2.17018322593355
"219",1,1,1,2,1,0,1,-11.1082193372805
"220",3,3,3,3,4,0,1,-1.82363155488248
"221",4,3,4,4,5,1,1,3.61442880383672
"222",3,3,4,3,4,0,0,-1.17804473559942
"224",4,4,4,4,5,1,1,4.6142303849082
"225",4,4,4,4,5,1,1,4.6142303849082
"226",3,3,3,3,4,0,0,-2.17018322593355
"227",1,2,1,2,3,0,1,-8.55283245939219
"228",3,3,3,3,4,0,1,-1.82363155488248
"229",4,4,4,4,5,1,1,4.6142303849082
"230",4,4,4,4,5,1,1,4.6142303849082
"231",4,4,4,4,5,1,1,4.6142303849082
"232",4,4,3,4,4,1,1,2.84429924616566
"233",3,3,3,3,4,0,1,-1.82363155488248
"234",3,3,3,3,4,0,0,-2.17018322593355
"235",3,3,3,3,4,0,1,-1.82363155488248
"236",1,1,2,1,1,0,0,-11.404595915941
"237",4,4,4,4,5,1,1,4.6142303849082
"238",2,2,3,3,2,0,1,-5.39170158097973
"239",4,4,5,5,5,1,0,6.20178060213486
"240",4,4,4,4,5,1,1,4.6142303849082
"241",2,2,3,3,3,0,1,-4.61390893257133
"242",3,4,3,4,4,0,1,0.118133424132603
"243",4,4,3,4,4,1,1,2.84429924616566
"244",3,3,3,3,4,0,0,-2.17018322593355
"245",3,3,4,3,5,0,1,-0.05370041613994
"246",4,4,4,5,5,1,1,5.5561937828518
"247",3,4,3,3,4,0,1,-0.823829973811001
"248",4,3,4,4,5,1,1,3.61442880383672
"249",3,3,4,3,5,0,1,-0.05370041613994
"250",4,4,4,5,5,1,0,5.20964211180073
"251",3,3,3,3,4,0,1,-1.82363155488248
"252",3,3,3,3,2,0,1,-3.37921685169928
"253",2,2,2,2,1,0,0,-8.45014778871695
"254",4,4,5,5,5,1,0,6.20178060213486
"255",4,4,4,4,5,1,0,4.26767871385712
"256",4,4,4,4,5,1,1,4.6142303849082
"258",4,4,4,3,5,1,1,3.6722669869646
"259",3,3,3,3,4,0,0,-2.17018322593355
"260",3,3,3,3,4,0,0,-2.17018322593355
"261",4,4,4,4,4,1,1,3.8364377364998
"262",2,3,2,3,4,0,1,-3.82845319342559
"263",2,2,3,3,4,0,1,-3.83611628416293
"264",4,4,4,4,4,1,0,3.48988606544872
"265",4,3,4,5,5,1,1,4.55639220178033
"266",3,3,3,3,3,0,1,-2.60142420329088
"267",3,3,4,3,4,0,0,-1.17804473559942
"268",3,4,4,4,5,1,0,3.25499556564814
"269",4,4,4,4,5,1,0,4.26767871385712
"271",3,3,3,3,4,0,1,-1.82363155488248
"272",2,3,2,2,3,0,1,-5.5482092397776
"273",4,4,4,3,5,1,1,3.6722669869646
"274",4,4,5,3,5,1,0,4.31785380624765
"275",2,2,2,2,4,0,1,-5.77021817244067
"276",3,4,3,3,5,0,1,-0.0460373254026
"277",3,3,3,3,5,0,0,-1.39239057752515
"278",2,2,2,2,4,0,1,-5.77021817244067
"279",4,4,4,4,5,1,1,4.6142303849082
"280",3,3,3,4,5,0,1,-0.103875508530471
"281",3,4,4,4,4,1,0,2.47720291723974
"282",4,3,3,3,5,0,0,-0.379707429316172
"283",3,3,3,3,5,0,1,-1.04583890647407
"284",2,2,3,3,2,0,0,-5.73825325203081
"285",3,3,3,3,5,0,1,-1.04583890647407
"286",3,3,3,3,5,0,0,-1.39239057752515
"287",3,3,3,3,5,0,0,-1.39239057752515
"288",3,3,2,3,3,0,0,-3.94011436467609
"289",4,3,4,4,5,1,1,3.61442880383672
"290",2,2,2,2,2,0,0,-7.67235514030855
"291",4,4,4,4,5,1,0,4.26767871385712
"292",4,4,4,4,5,1,1,4.6142303849082
"293",3,3,3,3,4,0,0,-2.17018322593355
"295",3,3,3,3,5,0,1,-1.04583890647407
"296",1,1,1,1,1,0,1,-12.0501827352241
"297",3,3,4,4,5,1,1,2.60174565562774
"298",2,3,2,3,1,0,0,-6.50838280970187
"299",1,1,3,3,1,0,1,-8.18197895866859
"300",3,3,3,3,4,0,1,-1.82363155488248
"301",3,3,3,3,4,0,0,-2.17018322593355
"302",2,3,3,3,2,0,1,-4.39189999990826
"303",2,3,3,2,3,0,1,-4.55607074944346
"304",2,3,3,3,3,0,1,-3.61410735149986
"305",3,3,3,3,4,0,1,-1.82363155488248
"306",3,2,4,3,4,0,1,-1.83129464561982
"307",4,4,4,5,5,1,0,5.20964211180073
"308",2,2,2,2,4,0,0,-6.11676984349175
"309",4,4,4,4,5,1,1,4.6142303849082
"311",3,3,3,3,3,0,1,-2.60142420329088
"312",2,2,3,2,2,0,1,-6.33366497892334
"313",5,5,5,4,5,1,0,7.27230193347171
"314",4,3,4,3,5,1,0,2.32591373484204
"315",4,4,4,4,5,1,0,4.26767871385712
"316",3,3,3,4,4,0,1,-0.881668156938872
"317",3,4,3,3,4,0,1,-0.823829973811001
"318",2,2,2,2,2,0,0,-7.67235514030855
"319",3,3,3,4,4,0,0,-1.22821982798995
"320",1,1,1,3,1,0,0,-10.5128076103879
"321",4,4,4,4,4,1,0,3.48988606544872
"322",5,5,5,4,5,1,1,7.61885360452279
"323",3,3,4,4,4,0,0,-0.236081337655814
"324",3,4,4,4,5,1,1,3.60154723669922
"325",3,3,3,3,4,0,1,-1.82363155488248
"327",4,3,4,4,5,1,0,3.26787713278565
"328",5,5,5,5,5,1,1,8.56081700246639
"329",3,3,3,3,4,0,1,-1.82363155488248
"330",4,3,4,4,4,1,1,2.83663615542832
"331",3,3,3,3,4,0,0,-2.17018322593355
"332",2,3,2,3,1,0,0,-6.50838280970187
"333",2,2,1,2,3,0,0,-7.88670098223428
"334",3,3,4,4,5,1,1,2.60174565562774
"335",3,4,2,3,4,0,0,-2.16252013519621
"336",4,4,4,4,5,1,1,4.6142303849082
"337",3,3,4,3,5,0,1,-0.05370041613994
"338",3,3,3,3,4,0,0,-2.17018322593355
"339",1,1,1,1,2,0,0,-11.6189417578667
"341",3,3,3,3,3,0,0,-2.94797587434195
"342",3,2,3,3,2,0,0,-4.72557010382183
"343",2,2,3,4,2,0,1,-4.44973818303613
"344",4,4,5,5,5,1,1,6.54833227318594
"345",3,4,4,3,4,0,0,-0.178243154527942
"346",3,3,3,3,5,0,1,-1.04583890647407
"347",2,3,3,2,3,0,1,-4.55607074944346
"348",4,4,4,4,5,1,1,4.6142303849082
"349",3,2,3,3,4,0,1,-2.82343313595395
"350",3,3,4,4,4,0,0,-0.236081337655814
"351",3,3,3,3,4,0,0,-2.17018322593355
"352",4,5,3,5,4,1,1,4.78606422518074
"353",4,4,4,4,5,1,1,4.6142303849082
"354",4,3,3,3,5,0,0,-0.379707429316172
"355",4,4,5,5,5,1,1,6.54833227318594
"356",4,4,5,5,5,1,1,6.54833227318594
"358",4,4,4,4,5,1,0,4.26767871385712
"359",3,3,3,3,3,0,0,-2.94797587434195
"360",3,3,3,4,5,0,0,-0.450427179581548
"361",4,4,4,3,4,1,0,2.54792266750512
"362",3,3,4,3,4,0,0,-1.17804473559942
"363",4,4,4,4,4,1,1,3.8364377364998
"364",3,3,3,3,5,0,1,-1.04583890647407
"365",1,1,2,4,3,0,1,-6.67656875424232
"366",3,2,4,2,4,0,1,-2.77325804356342
"367",4,4,4,4,4,1,1,3.8364377364998
"368",4,4,4,4,5,1,0,4.26767871385712
"369",1,1,3,2,1,0,1,-9.12394235661219
"370",4,4,4,4,5,1,1,4.6142303849082
"371",4,5,4,5,5,1,1,6.55599536392328
"372",2,2,2,2,2,0,1,-7.32580346925747
"373",5,5,5,5,5,1,1,8.56081700246639
"374",3,3,3,4,4,0,0,-1.22821982798995
"375",3,3,3,3,5,0,1,-1.04583890647407
"376",3,3,3,3,4,0,1,-1.82363155488248
"377",4,4,5,4,4,1,0,4.48202455578286
"378",4,4,5,5,5,1,1,6.54833227318594
"379",4,4,2,4,4,0,0,-0.207873589043629
"380",4,4,4,4,5,1,1,4.6142303849082
"381",3,3,3,4,4,0,0,-1.22821982798995
"382",3,3,3,3,5,0,1,-1.04583890647407
"383",4,4,4,4,5,1,1,4.6142303849082
"385",2,2,3,3,3,0,1,-4.61390893257133
"386",3,4,4,4,5,1,0,3.25499556564814
"387",3,3,3,3,4,0,1,-1.82363155488248
"388",4,4,4,4,5,1,1,4.6142303849082
"389",5,5,5,5,5,1,1,8.56081700246639
"390",3,3,3,4,5,0,1,-0.103875508530471
"391",3,3,3,3,4,0,1,-1.82363155488248
"392",5,5,5,5,5,1,0,8.21426533141532
"393",3,3,4,4,5,1,1,2.60174565562774
"395",5,5,5,5,5,1,0,8.21426533141532
"396",3,3,3,3,4,0,0,-2.17018322593355
"397",4,4,4,4,5,1,1,4.6142303849082
"398",4,4,4,4,5,1,0,4.26767871385712
"399",3,3,4,4,5,1,1,2.60174565562774
"400",4,3,3,4,2,0,0,-1.77112197659777
"401",2,2,2,2,4,0,0,-6.11676984349175
"402",4,4,4,5,5,1,0,5.20964211180073
"403",2,2,2,2,3,0,1,-6.54801082084907
"405",3,3,3,3,4,0,0,-2.17018322593355
"406",3,3,4,4,4,0,0,-0.236081337655814
"408",4,4,4,4,4,1,1,3.8364377364998
"409",3,3,3,3,5,0,1,-1.04583890647407
"410",5,4,5,4,5,1,0,6.27250035240024
"411",5,5,5,5,5,1,1,8.56081700246639
"412",3,3,4,3,4,0,0,-1.17804473559942
"413",3,3,3,3,4,0,1,-1.82363155488248
"414",2,2,1,2,1,0,0,-9.44228627905108
"415",3,3,3,3,3,0,1,-2.60142420329088
"416",2,3,3,3,4,0,0,-3.18286637414253
"417",2,3,3,3,2,0,0,-4.73845167095933
"418",3,3,3,3,4,0,1,-1.82363155488248
"419",2,2,2,1,2,0,0,-8.61431853825215
"420",3,3,3,3,4,0,1,-1.82363155488248
"421",4,4,4,4,5,1,1,4.6142303849082
"422",1,2,2,2,1,0,1,-9.11627926587485
"423",4,4,5,4,5,1,1,5.60636887524234
"424",1,2,2,2,1,0,0,-9.46283093692593
"425",3,3,4,3,4,0,1,-0.831493064548341
"426",4,4,4,3,4,1,1,2.89447433855619
"427",4,4,4,4,4,1,1,3.8364377364998
"428",2,2,3,2,2,0,1,-6.33366497892334
"429",3,3,3,3,4,0,0,-2.17018322593355
"430",3,4,3,1,5,0,1,-1.92996412128981
"431",3,3,3,3,4,0,0,-2.17018322593355
"432",3,3,2,3,4,0,0,-3.16232171626769
"433",3,3,3,4,4,0,1,-0.881668156938872
"434",3,3,4,4,5,1,1,2.60174565562774
"435",4,4,4,4,5,1,1,4.6142303849082
"436",3,3,4,4,4,0,0,-0.236081337655814
"437",4,4,4,4,4,1,0,3.48988606544872
"438",3,3,4,3,4,0,0,-1.17804473559942
"439",3,3,4,2,4,0,1,-1.77345646249194
"440",4,4,4,4,5,1,1,4.6142303849082
"441",4,4,5,5,5,1,0,6.20178060213486
"442",4,4,4,4,5,1,0,4.26767871385712
"443",4,4,5,5,5,1,1,6.54833227318594
"444",3,3,3,3,4,0,0,-2.17018322593355
"445",3,3,4,4,4,0,1,0.110470333395263
"446",4,4,4,4,5,1,0,4.26767871385712
"447",3,3,3,4,4,0,1,-0.881668156938872
"448",4,4,4,4,5,1,1,4.6142303849082
"449",3,3,3,3,4,0,1,-1.82363155488248
"451",3,3,3,3,4,0,0,-2.17018322593355
"452",4,4,3,3,4,0,0,-0.157698496653098
"453",3,3,3,3,4,0,1,-1.82363155488248
"454",3,3,4,4,5,1,1,2.60174565562774
"455",1,2,2,1,1,0,0,-10.4047943348695
"456",4,4,4,4,4,1,1,3.8364377364998
"457",4,4,4,4,5,1,1,4.6142303849082
"458",4,4,4,4,5,1,0,4.26767871385712
"459",3,3,3,3,5,0,0,-1.39239057752515
"460",5,4,5,5,5,1,1,7.56101542139492
"461",4,4,4,4,5,1,1,4.6142303849082
"462",3,3,3,3,4,0,1,-1.82363155488248
"463",2,1,1,5,2,0,0,-6.83840501788335
"464",3,3,3,3,5,0,0,-1.39239057752515
"465",3,3,4,4,4,0,1,0.110470333395263
"466",4,4,4,4,5,1,1,4.6142303849082
"467",3,3,4,5,4,1,0,2.41936473411187
"468",1,1,1,1,1,0,0,-12.3967344062751
"469",3,3,3,3,3,0,1,-2.60142420329088
"470",2,2,2,2,4,0,1,-5.77021817244067
"471",4,4,4,3,5,1,1,3.6722669869646
"472",2,2,3,3,3,0,0,-4.96046060362241
"474",3,3,3,3,2,0,0,-3.72576852275035
"475",3,3,5,5,5,1,1,4.53584754390548
"477",4,4,4,5,5,1,0,5.20964211180073
"478",3,3,3,3,4,0,1,-1.82363155488248
"479",5,5,5,4,5,1,0,7.27230193347171
"480",5,5,5,5,5,1,1,8.56081700246639
"481",4,4,3,3,5,1,1,2.68012849663046
"482",4,3,4,3,5,1,0,2.32591373484204
"483",3,3,3,3,5,0,0,-1.39239057752515
"484",3,4,3,4,4,0,1,0.118133424132603
"485",3,3,4,4,3,0,1,-0.667322315013138
"486",3,3,4,3,5,0,0,-0.400252087191017
"487",3,3,3,3,4,0,0,-2.17018322593355
"488",4,3,4,3,5,1,1,2.67246540589312
"489",3,4,3,5,3,0,1,0.282304173667806
"490",3,3,3,3,4,0,0,-2.17018322593355
"491",4,4,4,4,5,1,1,4.6142303849082
"492",5,5,5,5,5,1,1,8.56081700246639
"493",4,3,5,4,5,1,1,4.60656729417086
"494",3,3,3,3,5,0,1,-1.04583890647407
"495",3,3,3,3,2,0,0,-3.72576852275035
"496",3,3,4,2,4,0,1,-1.77345646249194
"497",3,3,3,2,4,0,1,-2.76559495282608
"498",3,3,3,3,4,0,1,-1.82363155488248
"499",3,3,3,3,4,0,1,-1.82363155488248
"500",4,4,4,4,4,1,0,3.48988606544872
"501",3,3,3,3,5,0,0,-1.39239057752515
"502",4,4,4,4,5,1,1,4.6142303849082
"503",3,3,4,4,4,0,1,0.110470333395263
"504",5,3,5,5,5,1,0,6.21466216927237
"505",3,3,3,3,5,0,1,-1.04583890647407
"506",4,3,4,4,4,1,1,2.83663615542832
"507",4,3,3,3,5,0,1,-0.0331557582650954
"508",3,3,3,4,5,0,0,-0.450427179581548
"509",2,2,3,3,2,0,1,-5.39170158097973
"510",2,2,2,3,1,0,1,-7.16163271972227
"511",2,2,2,2,3,0,0,-6.89456249190015
"512",3,3,3,3,4,0,1,-1.82363155488248
"513",4,4,5,5,5,1,1,6.54833227318594
"514",4,4,4,3,5,1,1,3.6722669869646
"515",3,3,3,3,5,0,0,-1.39239057752515
"516",3,3,2,2,3,0,0,-4.88207776261969
"517",3,3,4,3,5,0,1,-0.05370041613994
"518",3,4,3,3,4,0,0,-1.17038164486208
"519",1,1,1,1,1,0,1,-12.0501827352241
"520",3,3,3,3,4,0,0,-2.17018322593355
"521",3,3,3,3,4,0,1,-1.82363155488248
"524",2,2,3,3,2,0,0,-5.73825325203081
"525",3,2,4,3,4,0,1,-1.83129464561982
"526",4,4,4,4,5,1,1,4.6142303849082
"527",2,2,3,2,2,0,0,-6.68021664997441
"528",3,3,4,4,5,1,1,2.60174565562774
"529",4,3,4,4,5,1,1,3.61442880383672
"530",3,4,3,4,4,0,0,-0.228418246918474
"531",2,2,3,3,4,0,1,-3.83611628416293
"532",4,4,4,4,5,1,1,4.6142303849082
"533",3,3,3,3,4,0,0,-2.17018322593355
"534",3,3,3,3,4,0,1,-1.82363155488248
"535",2,2,2,2,3,0,0,-6.89456249190015
"536",3,3,3,3,4,0,0,-2.17018322593355
"537",5,5,5,5,5,1,0,8.21426533141532
"538",3,3,2,3,4,0,0,-3.16232171626769
"539",3,4,4,4,3,0,0,-0.0140724049927393
"540",4,4,4,4,5,1,0,4.26767871385712
"541",3,2,2,3,4,0,1,-3.81557162628809
"542",4,4,4,3,5,1,1,3.6722669869646
"543",3,3,3,3,4,0,0,-2.17018322593355
"544",2,2,2,2,2,0,0,-7.67235514030855
"545",4,4,4,3,5,1,1,3.6722669869646
"546",4,3,4,4,5,1,0,3.26787713278565
"547",1,1,1,1,1,0,0,-12.3967344062751
"548",3,3,3,3,4,0,1,-1.82363155488248
"549",3,3,4,4,4,0,1,0.110470333395263
"550",3,4,4,3,5,1,0,2.31303216770454
"551",5,5,5,4,5,1,1,7.61885360452279
"552",3,3,3,3,5,0,1,-1.04583890647407
"553",3,4,4,4,5,1,1,3.60154723669922
"554",2,2,2,2,3,0,1,-6.54801082084907
"555",4,3,4,4,5,1,0,3.26787713278565
"556",3,2,3,3,4,0,0,-3.16998480700503
"557",3,2,3,3,3,0,0,-3.94777745541343
"558",3,3,4,3,4,0,1,-0.831493064548341
"559",3,3,3,3,4,0,1,-1.82363155488248
"560",4,4,4,4,5,1,0,4.26767871385712
"561",3,3,3,3,4,0,1,-1.82363155488248
"562",3,3,3,4,5,0,0,-0.450427179581548
"563",3,3,3,2,4,0,1,-2.76559495282608
"564",2,3,4,3,4,0,0,-2.1907278838084
"565",4,2,5,4,5,1,1,3.60676571309938
"566",1,1,2,2,1,0,0,-10.4626325179974
"567",3,3,3,3,5,0,1,-1.04583890647407
"568",5,5,5,4,5,1,0,7.27230193347171
"569",1,1,1,2,2,0,0,-10.6769783599231
