"","UNIQUE_ID","High_Performer","Protected_Group","Retained","scale","bio_scale","SJ1.score","SJ2.score","SJ3.score","SJ4.score","SJ5.score","SJ6.score","SJ7.score","SJ8.score","SJ9.score","latency","PScale1","PScale2","PScale3","PScale4","PScale5","PScale6","PScale7","PScale8","PScale9","PScale10","PScale11","PScale12","PScale13"
"14",245027782,0,0,1,-1.60928571295674,-0.0434806977485485,-0.143742027347242,0.180214679108811,0.105069144058838,0.0196180801388833,0.119082310470903,-0.188681162334108,0.00347663852804739,0.0153154829883771,-0.0576981988450397,53.3333333333333,1.75,2.5,1,2.5,1.5,2.83333333333333,1.75,2,1,2,3.75,1.75,1.6
"15",245052844,0,0,0,-3.11214662387716,-0.123499560884071,0.125814021895194,-0.0295278093050692,0.105069144058838,0.00938328374616502,0.0195283973148153,0.057262845389879,0.00347663852804739,0.0770531466804187,-0.175268761698318,74.3333333333333,1.5,3.25,2.75,1.25,1.5,2.33333333333333,1.5,3.5,1.25,2,4,2,1.4
"16",245135956,0,1,1,-3.76539653389756,0.0881664403129652,-0.1485486438502,-0.134892008742598,-0.159758599813203,0.00938328374616502,0.0195283973148153,0.0697295574471017,-0.0997197298364098,0.0770531466804187,-0.0576981988450397,40.8888888888889,4,4,4,1.75,1,3.16666666666667,1.75,2.5,1,1,2.25,1.5,1.6
"17",245108299,0,0,1,-7.32580346925747,0.0959442424981038,0.125814021895194,-0.0295278093050692,0.193980055278995,0.00739140818196312,0.0195283973148153,0.0697295574471017,0.00289449124236004,0.0770531466804187,0.135627171835627,58.6666666666667,3,4,4,2.25,2.25,3.5,1,2.75,1,1,2.5,1,1.4
"18",245102955,0,1,1,-1.04583890647407,-0.0132888081206998,0.088268947151857,-0.134892008742598,-0.117968845539627,0.00938328374616502,-0.0419923234371015,0.0697295574471017,-0.0997197298364098,-0.0730077558028678,0.135627171835627,46.2222222222222,2.25,3.5,2.5,4,2.75,3.33333333333333,2.25,2.75,1.75,1.5,3.25,1.5,1.6
"19",245047664,0,0,1,0.188853174397979,0.0313437942129079,-0.0317977188044307,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,-0.188681162334108,0.00289449124236004,0.0153154829883771,-0.175268761698318,40.1111111111111,3.75,2.75,3.75,3.25,1.75,3.4,1,2.75,1.25,1,1.25,1.25,1.6
"21",245169205,0,0,0,-0.400252087191017,0.0189569120507939,-0.143742027347242,-0.135979512919568,0.019915664942267,0.0277138569392193,-0.152292850959183,-0.188681162334108,0.0486520924781456,0.0770531466804187,0.1613607670349,26.1111111111111,1.75,2.5,2.75,1,1,3.5,1.75,1.75,1,1,2.5,1,1.6
"22",245190491,0,0,0,-2.16252013519621,-0.153280436611459,-0.0317977188044307,0.180214679108811,0.105069144058838,0.00938328374616502,0.119082310470903,0.0308841431621186,0.00347663852804739,0.0770531466804187,-0.0576981988450397,79,3.25,3.25,2.25,2,1.75,2.33333333333333,2.25,2,2,2.25,2.25,2.75,2.4
"23",230472466,0,1,0,-1.39239057752515,0.177701943116743,-0.331745058615635,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0558125618011219,0.0733464753010898,0.273474905103578,103.111111111111,3.5,4,2.75,2.5,1.75,3.33333333333333,1,1.75,1,1,1,1.5,1.2
"24",245140140,0,0,1,-3.43705503482715,0.00246781092705653,-0.331745058615635,-0.00732295582083226,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0733464753010898,-0.175268761698318,202.111111111111,2,3.25,2.75,2.25,2.5,3,1,1,1,1,2,1.75,1
"25",245097669,0,0,0,-6.89456249190015,0.0678624380578506,-0.0317977188044307,-0.0295278093050692,0.224366218008776,-0.0782702222235596,0.119082310470903,0.0697295574471017,0.00347663852804739,0.0733464753010898,0.273474905103578,98.6666666666667,2.5,4,3.75,1.5,4,3.83333333333333,1,1.5,1,1,1,1,1.2
"26",245141127,1,0,1,8.56081700246639,0.0748651488685922,0.088268947151857,0.180214679108811,-0.155680195179028,0.00739140818196312,0.119082310470903,0.0308841431621186,-0.0997197298364098,0.0770531466804187,-0.0576981988450397,30.1111111111111,3.25,3.75,3.25,1.5,3.75,3.33333333333333,1.75,3.25,1.5,1,2.25,1.75,3
"27",243125925,1,0,1,5.67708862550771,0.0363328984931572,0.088268947151857,0.180214679108811,-0.27104382779605,0.00938328374616502,-0.0419923234371015,0.057262845389879,0.0486520924781456,0.0733464753010898,0.1613607670349,82.6666666666667,1,2.5,2,2,1,2.5,1.25,3.75,1,1.75,4,1.25,2.6
"28",245046857,0,0,1,0.110470333395263,0.0309659591916253,0.088268947151857,0.180214679108811,-0.177824934254533,0.00739140818196312,-0.152292850959183,0.0308841431621186,0.0558125618011219,0.0770531466804187,0.273474905103578,60.6666666666667,3.5,3,4,1,4,4,1,2.75,1,1,1.75,1.75,1.6
"29",245064009,0,1,1,-5.39170158097973,-0.0682486524763035,0.088268947151857,-0.134892008742598,-0.308766036924631,0.0277138569392193,-0.131017483284654,-0.188681162334108,-0.273482857113636,-0.436808950440348,-0.175268761698318,26,3,4,4,2,3.75,3.33333333333333,1.75,1.75,1.25,1.25,3,2,1
"31",245100454,0,1,0,-5.78842834442134,-0.0201663137814608,-0.1485486438502,0.180214679108811,0.105069144058838,-0.106599064831381,-0.0419923234371015,0.0697295574471017,0.0486520924781456,0.0733464753010898,0.0821532023064181,52.3333333333333,3.25,3.25,4,2.75,3.25,3.33333333333333,1.75,1.5,1,1.25,2,1,2.2
"32",245177236,1,0,1,3.8364377364998,0.0199360006658798,0.125814021895194,-0.00732295582083226,-0.177824934254533,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0770531466804187,-0.0576981988450397,34.8888888888889,3,3,3,2,3.75,3,1.25,2.75,1.75,1.5,2,2.75,1.6
"33",245116480,1,0,1,2.67246540589312,0.101192147543732,0.190540246803742,0.180214679108811,0.193980055278995,0.123524902704998,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.1613607670349,45.4444444444444,4,4,3.25,1,4,3.5,1,3,1,1,1,1,1
"34",126096799,0,0,1,-1.82363155488248,0.0411212476317852,0.125814021895194,-0.0295278093050692,0.193980055278995,-0.0782702222235596,0.119082310470903,0.057262845389879,0.0486520924781456,-0.0730077558028678,0.273474905103578,94.2222222222222,3.75,3.25,3.25,2,1,3.33333333333333,1,1,1,1,1.75,2.25,1.4
"35",244077674,0,0,0,-4.73845167095933,-0.0548321730148583,0.190540246803742,-0.123004962836159,0.193980055278995,0.00938328374616502,-0.131017483284654,0.0697295574471017,0.0558125618011219,-0.163970353214532,-0.0576981988450397,509.777777777778,2,3,2.5,1.75,3,2.66666666666667,1.25,2,1.75,1.75,3.25,2,2
"36",241587033,1,1,1,5.5561937828518,0.182222440984455,0.125814021895194,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,0.1613607670349,30.2222222222222,3,3.75,3.25,2.5,3.25,4,1,1.75,1,1,1.25,1.25,1
"37",245172884,0,1,0,-6.11676984349175,-0.105243363023536,-0.143742027347242,0.180214679108811,0.193980055278995,-0.0782702222235596,0.0195283973148153,0.0697295574471017,0.0486520924781456,-0.347399718706184,-0.0576981988450397,66.4444444444444,2,3.75,3.75,1.5,2.5,3.83333333333333,1.5,3.5,1,1.75,3.25,1.25,1.4
"38",245240099,0,1,0,-6.68021664997441,-0.0170756930374439,0.088268947151857,0.180214679108811,-0.117968845539627,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0153154829883771,0.1613607670349,40.5555555555556,1,3.25,2.75,4,1.75,2.83333333333333,1.75,2,1,3.25,4,1,2
"39",245212936,0,1,0,-2.17018322593355,-0.15044825775739,-0.143742027347242,0.180214679108811,-0.27104382779605,-0.0782702222235596,0.119082310470903,0.0496020199988172,0.0486520924781456,-0.0730077558028678,-0.175268761698318,69.4444444444444,2,3,3.5,1.75,1.5,3.66666666666667,2,3,1.5,1.75,2.25,2,2.2
"40",244268979,0,1,1,-5.33386339785186,0.144458267967808,NA,NA,0.193980055278995,-0.0782702222235596,0.119082310470903,0.0697295574471017,0.0558125618011219,0.0733464753010898,0.273474905103578,NA,4,4,3.75,1,4,3.66666666666667,1,2.5,1,1,1,1,NA
"41",245116652,0,1,0,-0.236081337655814,0.0853115996722109,0.125814021895194,0.180214679108811,0.105069144058838,0.0277138569392193,-0.0419923234371015,0.0308841431621186,0.0421189851117737,-0.347399718706184,0.273474905103578,51.5555555555556,2.75,3.75,4,1.75,3.75,4,1.25,1.5,1,1,2,1.5,1.2
"42",244968615,1,0,1,3.61442880383672,0.121918055227734,0.088268947151857,0.180214679108811,-0.117968845539627,-0.0274278672873789,0.0195283973148153,0.0496020199988172,0.00347663852804739,0.0770531466804187,0.135627171835627,51.2222222222222,2.75,4,4,2.75,1.75,3.83333333333333,1.25,2.5,1,1,1.75,2.25,1.4
"43",245217084,0,0,0,-12.3967344062751,0.114378357131391,-0.143742027347242,-0.0295278093050692,0.193980055278995,0.00938328374616502,0.0195283973148153,-0.406635941744661,0.00347663852804739,-0.0730077558028678,-0.21570445232357,26.5555555555556,3.75,3,4,2.25,2.75,3.16666666666667,1.25,3.25,1,1,1,1,2.2
"44",245092884,0,0,1,-1.04583890647407,-0.0356640223015312,-0.1485486438502,0.180214679108811,0.019915664942267,0.00938328374616502,-0.152292850959183,0.0697295574471017,0.00347663852804739,0.0153154829883771,0.135627171835627,42.5555555555556,3,4,3,1.75,1,3.66666666666667,1.25,3,1.75,1,2,2.25,1.6
"45",245078947,1,0,1,4.6142303849082,-0.0781442958926849,0.088268947151857,-0.135979512919568,0.193980055278995,-0.0782702222235596,0.0195283973148153,0.057262845389879,0.00347663852804739,-0.0730077558028678,0.1613607670349,42.6666666666667,3.5,3.5,3.75,1.5,4,3.66666666666667,1,3.25,1,1.25,3,1.5,1.6
"46",245056245,1,1,1,8.56081700246639,0.133547472330925,0.190540246803742,-0.123004962836159,0.019915664942267,0.00938328374616502,0.119082310470903,0.0308841431621186,-0.0997197298364098,-0.00324446033255262,0.135627171835627,131,3.25,4,2,2.75,3,2.83333333333333,1.5,3,1,1.75,2.5,1,2
"47",245113326,1,0,1,7.56101542139492,-0.114793018285482,-0.0317977188044307,0.180214679108811,0.019915664942267,-0.0274278672873789,0.0195283973148153,0.0697295574471017,0.00289449124236004,0.0770531466804187,-0.175268761698318,59.3333333333333,3,3.25,3,1.75,1.25,2.5,1,2.25,1,1,2.25,1.25,1.8
"48",245145398,1,1,1,2.60174565562774,0.0103061914078582,-0.0317977188044307,0.180214679108811,-0.27104382779605,0.00938328374616502,0.119082310470903,0.0697295574471017,0.0558125618011219,0.0733464753010898,-0.21570445232357,65.3333333333333,3.75,4,4,1,3.75,3,1,4,1,1,1,2.25,2
"49",245254382,0,1,0,-4.95279751288507,-0.0707468306019843,0.125814021895194,-0.0295278093050692,0.019915664942267,0.0794715033920372,-0.0419923234371015,0.057262845389879,0.00347663852804739,-0.0730077558028678,-0.0576981988450397,39.2222222222222,3,3.25,3.25,2,1,3.5,1,2,1,1.75,2.75,1,1
"50",244975130,1,0,1,4.6142303849082,0.0661278138273163,0.088268947151857,0.180214679108811,-0.159758599813203,-0.0274278672873789,-0.152292850959183,0.0308841431621186,0.0421189851117737,0.0770531466804187,0.1613607670349,49,3,3.25,3,3,3,3,2,2.5,1,1.25,2.25,1,1.8
"51",245203228,1,0,0,3.48988606544872,-0.0859409780274574,0.088268947151857,-0.134892008742598,0.105069144058838,0.0277138569392193,0.0195283973148153,0.057262845389879,-0.0997197298364098,0.0153154829883771,-0.0576981988450397,57,3.5,3.25,3.25,3,3.75,3.5,2.25,3.25,2,1.25,1.5,1,1.6
"53",245075681,1,0,1,4.6142303849082,0.152242698194075,-0.143742027347242,-0.00732295582083226,0.193980055278995,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.0486520924781456,0.0733464753010898,-0.0576981988450397,51.2222222222222,4,4,4,1,4,3.66666666666667,1,1.75,1,1,1,1,1.2
"54",244979128,1,0,1,8.56081700246639,0.113652165144748,0.125814021895194,0.180214679108811,0.193980055278995,0.0277138569392193,-0.0419923234371015,0.0308841431621186,0.0486520924781456,0.0733464753010898,0.1613607670349,33.1111111111111,3,3,3,2,2.25,2.83333333333333,2,2.75,1.75,2,2,2.5,2
"55",244978145,1,1,0,3.48988606544872,-0.165227177060855,0.125814021895194,-0.144094909187762,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.0486520924781456,-0.0730077558028678,0.135627171835627,54.6666666666667,4,2.5,3.25,2.5,3.25,3.5,3.25,2.25,3.25,2.5,2.5,2.5,2.2
"56",128156332,1,0,0,5.20964211180073,0.147661710794278,-0.0317977188044307,-0.0295278093050692,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0733464753010898,-0.175268761698318,45.5555555555556,3,3.75,2,2,3,2.66666666666667,1,3,1,1.75,1.75,2.5,2
"57",244988831,1,0,1,4.55639220178033,-0.0245180993233211,-0.338774370801121,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,0.0770531466804187,0.135627171835627,77.2222222222222,3.25,4,2.75,2.5,3,2.33333333333333,1.75,3.33333333333333,1.5,1.75,3.25,3,2.2
"58",245086858,0,1,1,-5.60604742290547,0.115383783606042,-0.0317977188044307,-0.134892008742598,-0.308766036924631,-0.0274278672873789,0.0195283973148153,0.0308841431621186,0.0486520924781456,-0.0730077558028678,-0.175268761698318,73.7777777777778,2.75,3.75,3,3,3.25,3.5,1.25,2.5,1.25,1.25,1.75,1.75,1.6
"59",245205751,0,0,1,-0.831493064548341,0.0233612845837031,-0.1485486438502,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,-0.0997197298364098,-0.0730077558028678,-0.0576981988450397,53.1111111111111,1.75,3.5,2.25,3.25,3.5,3.16666666666667,1.5,2,1,2.25,2.75,1.75,2
"60",242349691,1,0,1,4.6142303849082,0.10218028768066,0.125814021895194,-0.00732295582083226,0.105069144058838,0.00739140818196312,-0.131005035208603,-0.188681162334108,-0.535259503287983,-0.0730077558028678,-0.175268761698318,66.6666666666667,2,2.75,2.25,2.75,2.5,3.16666666666667,1,2.5,1,1.25,2.25,1.75,1.6
"61",245145566,0,0,0,-2.17018322593355,-0.0845300135907832,0.088268947151857,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0153154829883771,0.135627171835627,92,3.5,4,4,1.5,3,3.66666666666667,1,1.5,1,1,1.75,2.75,2.4
"62",245171683,1,1,1,3.66460389622726,0.112756589411056,-0.143742027347242,-0.00732295582083226,-0.159758599813203,-0.0274278672873789,0.119082310470903,-0.104544200337258,0.00289449124236004,-0.436808950440348,-0.175268761698318,66.8888888888889,3.75,4,3.25,2,1.75,3.5,1,3.75,1,1.25,1,1,1
"63",245113383,0,0,1,-7.30525881138263,-0.00462991154160763,-0.331745058615635,0.180214679108811,0.019915664942267,0.00938328374616502,-0.152292850959183,0.0308841431621186,0.00289449124236004,0.0733464753010898,-0.175268761698318,62,2.5,2.75,2.5,2.5,2.25,2.83333333333333,1.25,3,1.25,2.25,2,2,2.4
"64",240377021,1,0,0,4.26767871385712,0.00784103481893324,0.190540246803742,0.180214679108811,0.193980055278995,0.0277138569392193,0.0195283973148153,-0.111415965035121,0.00289449124236004,0.0770531466804187,0.0821532023064181,75.1111111111111,3,4,4,1.25,3.25,2.5,1.25,2.75,1,1,2.75,1.25,1.8
"65",245109714,1,0,1,3.6722669869646,-0.0866586740594244,0.190540246803742,0.180214679108811,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0308841431621186,-0.0997197298364098,0.0770531466804187,0.273474905103578,134.777777777778,2.66666666666667,3.25,3,1.75,2.25,2.8,1.75,2.25,1.66666666666667,1.75,2.5,3,1.2
"66",121031960,1,0,1,4.54351063464282,0.0996596840223922,0.125814021895194,-0.00732295582083226,0.193980055278995,0.0277138569392193,0.0195283973148153,0.0308841431621186,0.0486520924781456,0.0770531466804187,0.1613607670349,56.1111111111111,3,3.75,3.75,2,4,2.83333333333333,1.5,3,1.75,1,1.75,3,2.2
"67",245112083,1,1,1,2.60174565562774,0.170959546273009,-0.338774370801121,-0.0295278093050692,0.105069144058838,0.00938328374616502,-0.131017483284654,0.0697295574471017,0.0558125618011219,0.0153154829883771,-0.175268761698318,83.6666666666667,4,4,4,1,3.25,3.83333333333333,1,3.25,1,1,1,1,1.8
"69",245012814,1,0,1,4.6142303849082,0.000642355563808194,0.088268947151857,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0770531466804187,-0.389362522468815,164.555555555556,3.25,3.5,2.75,2.75,3.25,3.16666666666667,2,1.25,1,1.5,1.75,1.25,1.4
"70",245059430,0,1,1,-7.59798749431108,0.0481346107833757,-0.1485486438502,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.0486520924781456,0.0770531466804187,-0.0576981988450397,87,1,4,4,2,1.75,3.66666666666667,1,3.25,1,1,2.25,1,1.6
"71",245225854,1,0,0,7.20158218320634,-0.147072224103309,-0.262029781875302,-0.372044268688521,-0.308766036924631,0.00938328374616502,-0.0419923234371015,0.0308841431621186,0.00347663852804739,0.0733464753010898,-0.0576981988450397,49.7777777777778,1.5,3,2.5,2.75,1.5,3.66666666666667,2,3.75,1.25,1.5,3,2.5,2
"72",245174302,0,0,1,-2.60142420329088,-0.15325877256583,-0.143742027347242,0.180214679108811,0.105069144058838,0.00938328374616502,0.0195283973148153,-0.104544200337258,0.0486520924781456,0.0733464753010898,-0.0576981988450397,73.7777777777778,1.75,3.25,2,2.5,1.75,2.83333333333333,1,2.25,1.25,2,3,1.25,1.8
"73",245255866,1,0,0,4.26767871385712,0.0258920604148794,0.190540246803742,0.180214679108811,0.193980055278995,0.0277138569392193,0.0195283973148153,0.0308841431621186,0.0558125618011219,0.0153154829883771,0.1613607670349,30,3,3.75,2.75,1.5,2.5,2.66666666666667,1.66666666666667,2,1,2.25,2,1.75,1.8
"74",245180688,0,0,0,-2.17018322593355,0.0535759657108987,-0.1485486438502,-0.0295278093050692,0.224366218008776,0.00739140818196312,0.119082310470903,0.0697295574471017,0.0486520924781456,0.0733464753010898,-0.0576981988450397,59.7777777777778,4,3,4,1,3,3.6,1,2.75,1,1,1.75,3.25,2
"75",245037777,1,0,1,8.56081700246639,-0.0514317506911888,0.088268947151857,-0.00732295582083226,0.019915664942267,0.00938328374616502,-0.0419923234371015,0.0697295574471017,0.00347663852804739,0.0770531466804187,0.273474905103578,96.5555555555556,4,4,4,1.75,4,3.33333333333333,1.5,3,1,1,1.5,1.75,1.6
"76",239673529,1,0,1,4.6142303849082,0.183859985833485,0.190540246803742,0.180214679108811,0.105069144058838,0.00739140818196312,-0.0419923234371015,0.0308841431621186,0.00289449124236004,0.0733464753010898,-0.175268761698318,51.5555555555556,3.75,4,3.25,2.25,1.5,3.33333333333333,1,3.5,1.25,1,2,1,1
"77",244941321,1,1,0,2.31303216770454,-0.0242450382500975,0.125814021895194,0.180214679108811,0.193980055278995,0.00938328374616502,0.119082310470903,0.057262845389879,0.0486520924781456,0.0733464753010898,0.135627171835627,70,3.25,3.75,3.5,2,4,3.16666666666667,1,1.75,1,1.25,1.75,1,1.2
"79",243307699,0,0,0,-2.17018322593355,-0.00468680455995407,0.125814021895194,0.180214679108811,0.105069144058838,0.0794715033920372,-0.152292850959183,0.0697295574471017,0.00347663852804739,-0.0730077558028678,-0.0576981988450397,47.1111111111111,2,2.5,2.25,2.5,2.25,2.5,2.5,2,1.75,2.5,2.5,2.5,2.6
"80",245145426,1,1,1,8.56081700246639,-0.10035920972934,-0.143742027347242,-0.135979512919568,0.105069144058838,0.00938328374616502,0.119082310470903,0.057262845389879,0.0558125618011219,0.0733464753010898,-0.24181862123262,103.111111111111,1,3.5,2.5,3.5,2.5,3,1,3.25,1,2.25,4,1,1.4
"81",245240576,0,0,0,-1.39239057752515,-0.0235246250981958,0.190540246803742,-0.0295278093050692,-0.159758599813203,0.0277138569392193,-0.152292850959183,0.0697295574471017,0.0486520924781456,0.0153154829883771,-0.0576981988450397,36.8888888888889,2.25,3.25,2.25,2.5,1.75,3.16666666666667,1.25,3.25,1,2,2.5,2,2.2
"82",245187321,1,1,0,3.32571531591352,0.135618627273357,0.125814021895194,-0.0295278093050692,0.193980055278995,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0558125618011219,0.0770531466804187,0.273474905103578,60.7777777777778,4,4,4,1.25,3.25,3.33333333333333,1,1,1,1,1,1,1
"83",245089375,0,1,1,-1.89435130514785,0.0681172007849233,0.088268947151857,0.180214679108811,0.105069144058838,0.0277138569392193,0.119082310470903,0.0697295574471017,-0.0997197298364098,0.0770531466804187,-0.175268761698318,49.7777777777778,4,3.75,4,1,3.25,3.66666666666667,1,1.25,1,1,1,1,1.2
"84",245123419,0,1,1,-1.82363155488248,-0.0924101207254377,0.125814021895194,-0.0295278093050692,-0.298426024324185,0.0794715033920372,0.0195283973148153,0.0697295574471017,0.0486520924781456,-0.436808950440348,0.1613607670349,59.8888888888889,1.75,2.25,1.75,2,1.5,2.66666666666667,2.5,2,2,2.5,2.5,2,1.6
"85",245135727,0,1,1,-1.82363155488248,0.124545668157474,0.125814021895194,-0.134892008742598,0.105069144058838,-0.106599064831381,-0.0419923234371015,0.0697295574471017,0.194158266658312,0.0770531466804187,-0.389362522468815,49.4444444444444,2.75,3,2.25,2,1.5,2.33333333333333,3,3,2,2,2.25,2.75,2
"86",245085363,1,1,0,3.43971097305819,-0.0563869871020728,0.125814021895194,0.180214679108811,0.019915664942267,0.0277138569392193,0.0195283973148153,0.0697295574471017,-0.273482857113636,0.0770531466804187,0.135627171835627,42.3333333333333,3,4,4,2,4,3.5,1.5,1,1,1.25,3,1.75,1.4
"87",244988022,0,0,0,-7.67235514030855,0.108623089485883,-0.0317977188044307,-0.123004962836159,-0.117968845539627,0.0277138569392193,0.0195283973148153,0.0308841431621186,0.00347663852804739,0.0153154829883771,0.273474905103578,68.4444444444444,2.75,2.75,3.25,1.5,2.75,3.33333333333333,1.25,2,1,2,2,1.75,1.8
"88",245196662,1,1,1,4.6142303849082,-0.0283421088388447,0.088268947151857,0.180214679108811,-0.177824934254533,0.00938328374616502,0.0195283973148153,0.0697295574471017,0.00347663852804739,-0.0730077558028678,0.1613607670349,136.444444444444,4,3.25,3.75,1,1,3.66666666666667,1,2.25,1,1,3,1,1.8
"89",245174721,0,1,1,-5.60604742290547,-0.0681018825791605,-0.411723260291882,-0.395892795585364,NA,0.0277138569392193,0.119082310470903,-0.483029509985569,-0.0997197298364098,-0.0730077558028678,0.1613607670349,NA,2.5,3,2.75,2.75,2.5,2.33333333333333,2.75,2.5,2.75,2,2.5,2.5,2.8
"90",232853596,1,0,0,4.26767871385712,0.00265200899142103,0.088268947151857,0.180214679108811,0.019915664942267,0.00938328374616502,0.0195283973148153,0.0308841431621186,0.0486520924781456,-0.0730077558028678,-0.0576981988450397,44.4444444444444,2.5,3,2.75,3,2.25,2.66666666666667,2,2.75,1.75,1.5,2,1.5,2
"91",244956729,0,1,1,-5.60604742290547,0.0954393837674472,-0.262029781875302,-0.134892008742598,0.105069144058838,0.0277138569392193,0.0195283973148153,0.057262845389879,0.0421189851117737,0.0733464753010898,-0.175268761698318,29.5555555555556,4,4,4,1.25,4,3.66666666666667,1,1,1,1,1,1,1
